FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000142684.7.ZNF593.wgt.RDat	ZNF593	1	2.65e+07	2.65e+07	0.539	rs4354529	-2.82	rs12145714	 0.13150	 4.50	-0.0840	426	 9	lasso	 0.23847	2.58e-06	 0.0472	0.962323
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000236782.1.RP11-96L14.7.wgt.RDat	RP11-96L14.7	1	2.65e+07	2.65e+07	0.560	rs4354529	-2.82	rs12145714	 0.14201	 4.62	-0.0840	426	 9	lasso	 0.30234	7.64e-08	 0.0371	0.970417
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000142675.13.CNKSR1.wgt.RDat	CNKSR1	1	2.65e+07	2.65e+07	0.415	rs4354529	-2.82	rs12145714	 0.43275	-5.90	-0.0840	425	12	lasso	 0.45045	5.79e-12	 0.0709	0.943510
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000270605.1.RP5-1092A3.4.wgt.RDat	RP5-1092A3.4	1	2.86e+07	2.86e+07	0.368	rs12090855	-2.47	rs2938867	 0.38209	-5.57	-0.0560	251	 4	lasso	 0.35946	2.53e-09	 0.0252	0.979858
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000160094.10.ZNF362.wgt.RDat	ZNF362	1	3.37e+07	3.38e+07	0.391	rs2786547	-2.44	rs1298190	-0.01237	 3.16	-0.7120	418	13	lasso	 0.01581	1.36e-01	-0.2421	0.808737
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000256142.1.AL513327.1.wgt.RDat	AL513327.1	1	3.38e+07	3.38e+07	0.418	rs2786547	-2.44	rs10798945	 0.00920	 3.79	 0.8207	402	10	lasso	 0.04844	2.79e-02	 0.6298	0.528821
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000233621.1.RP11-422J8.1.wgt.RDat	RP11-422J8.1	1	3.79e+07	3.79e+07	0.458	rs10908367	 2.41	rs2492301	 0.15352	-4.73	-0.0082	440	 6	lasso	 0.05764	1.81e-02	 0.5584	0.576583
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000182109.3.RP11-69E11.4.wgt.RDat	RP11-69E11.4	1	4.00e+07	4.00e+07	0.231	rs11207370	 2.47	rs3931300	 0.12452	 4.12	 0.0000	372	 6	lasso	 0.20450	1.51e-05	-0.2996	0.764512
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000116985.6.BMP8B.wgt.RDat	BMP8B	1	4.02e+07	4.03e+07	0.452	rs3122438	 2.65	rs784634	-0.01203	-3.28	 1.3718	389	37	enet	 0.08832	4.30e-03	-0.9852	0.324546
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000186409.10.CCDC30.wgt.RDat	CCDC30	1	4.29e+07	4.31e+07	0.341	rs6672120	 2.18	rs12130975	 0.00172	 3.12	 0.2467	420	31	enet	-0.00257	3.75e-01	 0.9948	0.319831
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000164008.9.C1orf50.wgt.RDat	C1orf50	1	4.32e+07	4.33e+07	0.300	rs624969	-2.43	rs655741	 0.10857	-4.23	 0.1120	423	 3	lasso	 0.09877	2.63e-03	 0.4520	0.651292
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000227533.1.SLC2A1-AS1.wgt.RDat	SLC2A1-AS1	1	4.34e+07	4.34e+07	0.403	rs624969	-2.94	rs841839	 0.30045	 5.52	-0.4661	425	10	enet	 0.30737	5.72e-08	-0.4737	0.635701
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000272491.1.RP5-1024N4.4.wgt.RDat	RP5-1024N4.4	1	4.87e+07	4.87e+07	0.285	rs2063712	-3.72	rs12135744	 0.27199	 4.81	 0.9397	465	11	lasso	 0.18997	3.16e-05	 1.0972	0.272533
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000134744.9.ZCCHC11.wgt.RDat	ZCCHC11	1	5.29e+07	5.30e+07	0.230	rs6679249	 3.46	rs6672059	 0.30542	 5.24	-1.6389	292	 8	enet	 0.27087	4.48e-07	-1.4595	0.144415
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000236360.1.RP11-334A14.2.wgt.RDat	RP11-334A14.2	1	5.35e+07	5.35e+07	0.355	rs6679249	 3.46	rs11581638	 0.22253	 4.28	 1.0554	429	 5	lasso	 0.12618	7.18e-04	 1.0198	0.307840
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000162384.9.C1orf123.wgt.RDat	C1orf123	1	5.37e+07	5.37e+07	0.264	rs7518390	 2.98	rs10465822	-0.00698	 3.36	-0.0863	466	 7	lasso	 0.00670	2.19e-01	 0.0678	0.945979
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000272091.1.RP4-758J24.5.wgt.RDat	RP4-758J24.5	1	5.45e+07	5.45e+07	0.523	rs4926614	 3.10	rs702491	-0.01277	-3.48	 1.2115	468	12	lasso	 0.00496	2.41e-01	-0.5908	0.554633
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000116133.7.DHCR24.wgt.RDat	DHCR24	1	5.53e+07	5.54e+07	0.442	rs12725171	-2.89	rs10489487	-0.01274	 3.60	 0.3612	565	36	enet	 0.01742	1.25e-01	 1.2408	0.214667
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000142856.12.ITGB3BP.wgt.RDat	ITGB3BP	1	6.39e+07	6.40e+07	0.424	rs12142862	 2.72	rs6697508	 0.50909	 6.49	-1.9421	556	 4	lasso	 0.51324	4.80e-14	-1.8705	0.061415
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000272864.1.RP11-17E13.2.wgt.RDat	RP11-17E13.2	1	7.52e+07	7.52e+07	0.293	rs12033503	 2.19	rs10874274	 0.21162	 5.23	 0.4000	373	15	enet	 0.27042	4.59e-07	 0.5039	0.614328
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000116791.9.CRYZ.wgt.RDat	CRYZ	1	7.52e+07	7.52e+07	0.356	rs12033503	 2.19	rs9661135	-0.00853	 3.52	-0.6583	386	39	enet	 0.01859	1.18e-01	 0.3577	0.720535
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000137944.12.CCBL2.wgt.RDat	CCBL2	1	8.94e+07	8.94e+07	0.344	rs6696199	-3.51	rs7532151	 0.00137	-4.48	-0.4310	356	34	enet	 0.12842	6.45e-04	-0.1707	0.864468
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000117226.7.GBP3.wgt.RDat	GBP3	1	8.95e+07	8.95e+07	0.245	rs6696199	-3.51	rs10493821	 0.40245	-5.78	 1.8678	342	 2	lasso	 0.36704	1.57e-09	-1.8292	0.067367
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000067208.10.EVI5.wgt.RDat	EVI5	1	9.30e+07	9.33e+07	0.164	rs4847399	 4.86	rs4970698	 0.11601	 3.90	 1.0432	344	13	lasso	 0.05465	2.08e-02	 1.0460	0.295547
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000223745.3.RP4-717I23.3.wgt.RDat	RP4-717I23.3	1	9.37e+07	9.38e+07	0.328	rs4847399	 4.86	rs17131699	 0.35337	-5.79	 3.5584	316	25	enet	 0.37309	1.07e-09	-3.5689	0.000358
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000122481.12.RWDD3.wgt.RDat	RWDD3	1	9.57e+07	9.57e+07	0.402	rs927703	 2.86	rs1415563	 0.05727	-3.90	-0.1955	491	10	lasso	 0.11406	1.28e-03	 0.1317	0.895207
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000241720.2.RP4-735C1.4.wgt.RDat	RP4-735C1.4	1	1.10e+08	1.10e+08	0.476	rs11807	-2.64	rs11807	 0.36172	 5.43	-2.6389	452	 7	lasso	 0.37009	1.30e-09	-2.2044	0.027494
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000134202.6.GSTM3.wgt.RDat	GSTM3	1	1.10e+08	1.10e+08	0.568	rs11807	-2.64	rs4970777	 0.31231	-5.51	 0.4912	434	13	enet	 0.45803	3.34e-12	-1.6619	0.096537
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000116874.7.WARS2.wgt.RDat	WARS2	1	1.20e+08	1.20e+08	0.276	rs11590559	 2.38	rs10802075	 0.15381	-4.81	-0.1145	448	13	enet	 0.25426	1.11e-06	 0.4428	0.657897
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000231365.1.RP11-418J17.1.wgt.RDat	RP11-418J17.1	1	1.20e+08	1.20e+08	0.399	rs1779437	-2.22	rs10923767	 0.31047	-5.11	 0.1053	474	 8	lasso	 0.33982	8.41e-09	-0.3505	0.725993
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000223345.3.HIST2H2BA.wgt.RDat	HIST2H2BA	1	1.21e+08	1.21e+08	0.216	rs17258606	 1.75	rs6600662	 0.24480	 4.77	 0.8134	 77	 2	lasso	 0.28416	2.14e-07	 0.9941	0.320166
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000162836.7.ACP6.wgt.RDat	ACP6	1	1.47e+08	1.47e+08	0.593	rs6675828	 2.87	rs2275552	 0.38954	-5.89	-1.0238	424	 7	lasso	 0.41409	7.32e-11	 0.5160	0.605824
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000259357.1.RP11-316M1.12.wgt.RDat	RP11-316M1.12	1	1.51e+08	1.51e+08	0.137	rs17599629	 2.55	rs2280078	 0.02810	-3.81	-1.7583	294	 6	lasso	 0.02220	9.86e-02	 1.5618	0.118340
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000143367.11.TUFT1.wgt.RDat	TUFT1	1	1.52e+08	1.52e+08	0.408	rs1568485	 2.62	rs4971004	-0.01279	 3.11	-2.3613	331	43	enet	 0.22647	4.86e-06	-0.1899	0.849393
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000159445.8.THEM4.wgt.RDat	THEM4	1	1.52e+08	1.52e+08	0.184	rs1568485	 2.62	rs11204915	 0.22222	-4.37	 0.8103	339	17	enet	 0.16218	1.26e-04	-0.2898	0.771954
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000272668.1.RP11-190A12.8.wgt.RDat	RP11-190A12.8	1	1.60e+08	1.60e+08	0.425	rs10908752	 3.46	rs4133290	 0.32201	 5.34	-0.3852	494	 4	lasso	 0.33342	1.24e-08	 0.1877	0.851106
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000235477.2.RP11-122G18.5.wgt.RDat	RP11-122G18.5	1	1.61e+08	1.61e+08	0.277	rs1801274	-5.69	rs16832908	 0.01772	-4.05	 0.0618	393	27	enet	 0.06051	1.58e-02	-0.1469	0.883229
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000171806.7.METTL18.wgt.RDat	METTL18	1	1.70e+08	1.70e+08	0.142	rs3917744	-2.72	rs2272920	 0.10318	-4.38	 1.2204	547	16	enet	 0.14756	2.57e-04	-1.2315	0.218126
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000198468.3.FLVCR1-AS1.wgt.RDat	FLVCR1-AS1	1	2.13e+08	2.13e+08	0.718	rs17666456	 2.88	rs2279692	 0.62089	-7.04	-0.5487	397	 7	lasso	 0.62784	1.24e-18	 0.4143	0.678627
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000272750.1.RP11-378J18.8.wgt.RDat	RP11-378J18.8	1	2.23e+08	2.23e+08	0.285	rs2889946	-2.79	rs2378607	 0.17070	 4.04	-0.5344	315	 6	lasso	 0.07287	8.85e-03	-0.7290	0.465978
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000186063.8.AIDA.wgt.RDat	AIDA	1	2.23e+08	2.23e+08	0.170	rs2889946	-2.79	rs2936033	 0.16408	-3.82	-0.1538	318	 4	lasso	 0.20831	1.25e-05	 0.7089	0.478392
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000272645.1.RP11-504P24.8.wgt.RDat	RP11-504P24.8	1	2.24e+08	2.24e+08	0.384	rs12038372	-2.65	rs7544572	 0.03567	 3.88	-1.8770	326	 5	lasso	 0.07124	9.56e-03	-1.0753	0.282236
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000163041.5.H3F3A.wgt.RDat	H3F3A	1	2.26e+08	2.26e+08	0.266	rs360063	 2.81	rs6426106	 0.04361	 4.60	 0.7324	381	 5	lasso	 0.10355	2.10e-03	 1.1036	0.269782
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000168275.10.COA6.wgt.RDat	COA6	1	2.35e+08	2.35e+08	0.440	rs10797545	 3.38	rs7524822	 0.04792	-4.10	-0.5172	628	26	enet	 0.07053	9.88e-03	 1.2774	0.201478
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000116984.8.MTR.wgt.RDat	MTR	1	2.37e+08	2.37e+08	0.394	rs4278367	 3.43	rs475488	 0.00134	 3.63	 1.6842	708	 9	lasso	 0.02127	1.03e-01	 1.5934	0.111074
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000203666.8.EFCAB2.wgt.RDat	EFCAB2	1	2.45e+08	2.45e+08	0.611	rs6694326	 2.89	rs651773	 0.41023	 5.97	 1.3871	539	 8	lasso	 0.41570	6.57e-11	 1.6069	0.108083
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000135747.7.ZNF670.wgt.RDat	ZNF670	1	2.47e+08	2.47e+08	0.276	rs12045922	-4.07	rs4925631	 0.17230	-4.19	 2.1223	501	 5	lasso	 0.11855	1.03e-03	-1.9751	0.048255
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000196418.8.ZNF124.wgt.RDat	ZNF124	1	2.47e+08	2.47e+08	0.651	rs12045922	-4.07	rs4925715	 0.33367	-5.21	 0.5039	476	11	lasso	 0.28220	2.39e-07	-0.2966	0.766786
FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000120539.10.MASTL.wgt.RDat	MASTL	10	2.74e+07	2.75e+07	0.370	rs7476899	-2.99	rs7091128	 0.15277	-3.93	-0.1951	465	43	enet	 0.16326	1.19e-04	-0.9070	0.36440
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000197321.10.SVIL.wgt.RDat	SVIL	10	2.97e+07	3.00e+07	0.414	rs1774933	 3.29	rs11007823	-0.01103	-3.39	-2.6311	859	34	enet	-0.00981	6.31e-01	 1.3035	0.19242
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000273038.1.RP11-479G22.8.wgt.RDat	RP11-479G22.8	10	3.32e+07	3.32e+07	0.199	rs17230563	-2.65	rs1775115	 0.12274	 4.80	 1.7949	434	11	lasso	 0.16372	1.17e-04	 1.5800	0.11410
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000099251.10.HSD17B7P2.wgt.RDat	HSD17B7P2	10	3.86e+07	3.87e+07	0.871	rs2754361	 3.79	rs11011412	 0.00409	 2.56	 0.3540	142	10	lasso	 0.00385	2.57e-01	-1.0139	0.31063
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000169826.6.CSGALNACT2.wgt.RDat	CSGALNACT2	10	4.36e+07	4.37e+07	0.244	rs2484304	-4.75	rs715106	 0.28631	 4.95	 1.5694	397	 9	lasso	 0.24878	1.49e-06	 1.3762	0.16875
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000188234.9.AGAP4.wgt.RDat	AGAP4	10	4.63e+07	4.63e+07	0.288	rs10751384	-1.89	rs10793621	 0.15095	-4.73	 0.7778	123	 5	lasso	 0.20589	1.41e-05	-0.7318	0.46428
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000174194.11.AGAP8.wgt.RDat	AGAP8	10	5.12e+07	5.14e+07	0.567	rs3729496	 3.03	rs7922121	 0.23737	 4.47	 0.1239	206	 5	lasso	 0.28584	1.95e-07	-0.3007	0.76362
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000204169.6.AGAP7.wgt.RDat	AGAP7	10	5.15e+07	5.15e+07	0.295	rs7085433	 2.62	rs10740051	 0.21134	 4.42	 0.6094	 69	 3	lasso	 0.19205	2.85e-05	 1.1901	0.23399
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000099290.11.FAM21A.wgt.RDat	FAM21A	10	5.18e+07	5.19e+07	0.630	rs17721658	 2.89	rs2338050	 0.44344	-5.99	-1.0927	300	 4	lasso	 0.37976	7.02e-10	 0.9342	0.35020
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000231345.3.RP11-564C4.6.wgt.RDat	RP11-564C4.6	10	5.24e+07	5.24e+07	0.267	rs17721658	 2.89	rs12358162	 0.09574	-3.83	 0.0873	440	19	enet	 0.03957	4.25e-02	-1.1953	0.23197
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000204147.5.ASAH2B.wgt.RDat	ASAH2B	10	5.25e+07	5.25e+07	0.332	rs17721658	 2.89	rs2820762	 0.22338	 4.61	 1.3968	473	 5	lasso	 0.18867	3.38e-05	 1.1368	0.25563
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000122912.10.SLC25A16.wgt.RDat	SLC25A16	10	7.02e+07	7.03e+07	0.198	rs10997908	-3.22	rs12217591	 0.18583	 4.36	 0.5449	398	 5	lasso	 0.14043	3.63e-04	 0.5281	0.59743
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000166321.9.NUDT13.wgt.RDat	NUDT13	10	7.49e+07	7.49e+07	0.116	rs16930150	 2.30	rs11000557	 0.02619	-3.64	-0.8062	223	11	lasso	 0.05044	2.54e-02	 0.7751	0.43828
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000242600.2.MBL1P.wgt.RDat	MBL1P	10	8.17e+07	8.17e+07	0.286	rs2819878	 2.46	rs728616	 0.13358	 4.63	-1.0191	324	 5	lasso	 0.17406	7.00e-05	-0.6805	0.49616
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000230091.2.TMEM254-AS1.wgt.RDat	TMEM254-AS1	10	8.18e+07	8.18e+07	0.361	rs2819878	 2.46	rs3824727	 0.06525	 4.16	 1.2703	331	 8	lasso	 0.23875	2.54e-06	-0.5813	0.56106
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000232229.1.LINC00865.wgt.RDat	LINC00865	10	9.16e+07	9.16e+07	0.485	rs17129616	-2.87	rs1125326	 0.31178	 5.35	 1.3256	488	 8	lasso	 0.25127	1.30e-06	 1.0584	0.28986
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000270670.1.RP11-248C1.3.wgt.RDat	RP11-248C1.3	10	9.16e+07	9.16e+07	0.277	rs17129616	-2.87	rs1125326	 0.05155	 3.93	 1.3256	483	 6	lasso	 0.03024	6.65e-02	 1.1215	0.26206
